,,,TEST REPORT,,,,,,,,,,,
,, Test Name, JB6_SiMPs-LFP-POF10-A8, Serial Number,, C:\Users\Arbin\Desktop\Jiwoong\2022-06-09 SiMP-LFP_additives\JB6_SiMPs-LFP-POF10-A8_2022_05_14_151304,,,,,,,,
,,Export Time,06/09/2022 10:20:05,212863,,,,,,,,,,
Channel,Start DateTime,Schedule File Name,Creator,Comments,Software Version,Schedule Version,MASS(g),Specific Capacity(Ah/g),Capacity(Ah),BarCode,Has Aux,Has Specail,Log Aux Data Flag,Log Special Flag
39,05/14/2022 15:13:04,Jiwoong\Si-LFP\Si-LFP_new\JB_Si-LFP_1.81mAhcm2_cycling_+RD-2032_01.sdx,JB,JB6_SiMPs-LFP-POF10-A8,Mits8 PV Build: 202110,Schedule Version 8.00.11,0,0,0.05,,512,0,False,False
