,,,TEST REPORT,,,,,,,,,,,
,, Test Name, JB4_SiMP-LFP-PFF1, Serial Number,, C:\Users\Arbin\Desktop\Jiwoong\2022-09-14\JB4_SiMP-LFP-PFF1_2022_08_04_135409,,,,,,,,
,,Export Time,09/13/2022 23:33:48,212863,,,,,,,,,,
Channel,Start DateTime,Schedule File Name,Creator,Comments,Software Version,Schedule Version,MASS(g),Specific Capacity(Ah/g),Capacity(Ah),BarCode,Has Aux,Has Specail,Log Aux Data Flag,Log Special Flag
77,08/04/2022 13:54:10,Jiwoong\Si-LFP\Si-LFP_new\JB_Si-LFP_1.81mAhcm2_500cycling_+RD-2032_01.sdx,JB,JB4_SiMP-LFP-PFF1,Mits8 PV Build: 202110,Schedule Version 8.00.11,0,0,0.05,,512,0,False,False
