,,,TEST REPORT,,,,,,,,,,,
,, Test Name, JB9_SiMPs-LFP-PDF3_GF260, Serial Number,, C:\Users\Arbin\Desktop\Jiwoong\2022-06-09 SiMP-LFP_additives\JB9_SiMPs-LFP-PDF3_GF260_2022_05_14_151450,,,,,,,,
,,Export Time,06/09/2022 10:19:55,212863,,,,,,,,,,
Channel,Start DateTime,Schedule File Name,Creator,Comments,Software Version,Schedule Version,MASS(g),Specific Capacity(Ah/g),Capacity(Ah),BarCode,Has Aux,Has Specail,Log Aux Data Flag,Log Special Flag
64,05/14/2022 15:14:51,Jiwoong\Si-LFP\Si-LFP_new\JB_Si-LFP_1.81mAhcm2_cycling_+RD-2032_01.sdx,JB,JB9_SiMPs-LFP-PDF3_GF260,Mits8 PV Build: 202110,Schedule Version 8.00.11,0,0,0.05,,512,0,False,False
